Date,Which Room,RatorID,[Contributions & Attitude],[Cooperation with Others],"[Focus, Commitments]",[Team Role Fulfillment],[Ability to Communicate],[Accuracy],Rating,RateeID
2021-10-29 09:58:00,Room 6,rator-01,4,4,4,4,4,3,3.83,ratee-01
2021-10-29 09:58:00,Room 4,rator-02,3,3,3,3,3,2,2.83,ratee-02
2021-10-29 09:58:00,Room 3,rator-03,4,3,3,3,3,3,3.17,ratee-03
2021-10-29 09:58:00,Room 6,rator-04,2,4,4,3,4,2,3.17,ratee-04
2021-10-29 09:58:00,Room 6,rator-05,4,3,4,4,3,4,3.67,ratee-05
2021-10-29 09:58:00,Room 1,rator-06,3,3,3,3,2,1,2.5,ratee-06
2021-10-29 09:59:00,Room 7,rator-07,2,3,3,2,2,2,2.33,ratee-07
2021-10-29 09:59:00,Room 5,rator-08,3,4,3,3,4,3,3.33,ratee-08
2021-10-29 09:59:00,Room 5,rator-09,4,4,4,4,4,3,3.83,ratee-10
2021-10-29 09:59:00,Room 5,rator-10,2,3,2,2,3,2,2.33,ratee-11
2021-10-29 09:59:00,Room 4,rator-11,4,4,4,4,3,4,3.83,ratee-12
2021-10-29 09:59:00,Room 4,rator-12,3,3,3,2,4,3,3.0,ratee-13
2021-10-29 10:00:00,Room 7,rator-13,4,4,4,4,4,4,4.0,ratee-15
2021-10-29 10:00:00,Room 2,rator-14,4,4,3,3,3,2,3.17,ratee-16
2021-10-29 10:00:00,Room 5,rator-15,3,3,4,3,4,2,3.17,ratee-17
2021-10-29 10:01:00,Room 2,rator-16,3,4,4,3,4,3,3.5,ratee-18
2021-10-29 10:01:00,Room 1,rator-17,3,3,3,4,3,3,3.17,ratee-19
2021-10-29 10:01:00,Room 3,rator-18,3,3,2,3,3,3,2.83,ratee-20
2021-10-29 10:01:00,Room 3,rator-19,4,4,4,3,4,3,3.67,ratee-21
2021-10-29 10:02:00,Room 2,rator-20,3,2,2,2,3,1,2.17,ratee-22
2021-10-29 10:02:00,Room 2,rator-21,3,3,3,1,1,3,2.33,ratee-23
2021-10-29 10:02:00,Room 7,rator-22,4,4,4,4,3,3,3.67,ratee-24
2021-10-29 10:02:00,Room 3,rator-23,3,2,2,3,3,2,2.5,ratee-25
2021-10-29 10:02:00,Room 1,rator-24,4,3,4,4,3,3,3.5,ratee-26
2021-10-29 10:03:00,Room 4,rator-25,4,4,4,4,4,2,3.67,ratee-27
2021-10-29 10:03:00,Room 5,rator-26,2,2,2,2,2,2,2.0,ratee-28
2021-10-29 10:03:00,Room 1,rator-27,3,2,3,3,2,3,2.67,ratee-29
2021-10-29 10:03:00,Room 6,rator-28,3,3,2,2,3,2,2.5,ratee-30
2021-10-29 10:03:00,Room 3,rator-29,4,3,3,4,4,3,3.5,ratee-31
2021-10-29 10:03:00,Room 5,rator-30,4,4,4,4,4,3,3.83,ratee-32
2021-10-29 10:04:00,Room 2,rator-31,3,2,3,2,3,1,2.33,ratee-33
2021-10-29 10:04:00,Room 1,rator-32,4,3,4,3,2,2,3.0,ratee-34
2021-10-29 10:05:00,Room 7,rator-33,3,3,3,3,2,2,2.67,ratee-35
2021-10-29 10:05:00,Room 4,rator-34,4,4,4,4,4,4,4.0,ratee-36
2021-10-29 10:06:00,Room 2,rator-35,3,4,3,3,2,2,2.83,ratee-37
2021-11-12 09:20:00,Room 6,rator-06,4,4,4,4,4,3,3.83,ratee-06
2021-11-12 09:20:00,Room 3,rator-08,3,4,3,4,3,4,3.5,ratee-08
2021-11-12 09:20:00,Room 7,rator-07,3,4,3,3,3,3,3.17,ratee-07
2021-11-12 09:20:00,Room 2,rator-13,4,4,4,4,4,3,3.83,ratee-15
2021-11-12 09:20:00,Room 4,rator-21,4,4,3,4,3,3,3.5,ratee-23
2021-11-12 09:20:00,Room 7,rator-20,4,4,4,3,3,2,3.33,ratee-22
2021-11-12 09:21:00,Room 2,rator-29,4,4,3,3,4,2,3.33,ratee-31
2021-11-12 09:21:00,Room 4,rator-36,4,4,3,4,3,3,3.5,ratee-09
2021-11-12 09:21:00,Room 1,rator-19,4,4,4,4,4,4,4.0,ratee-21
2021-11-12 09:21:00,Room 7,rator-33,4,4,4,4,4,3,3.83,ratee-35
2021-11-12 09:21:00,Room 1,rator-12,4,4,4,3,4,3,3.67,ratee-13
2021-11-12 09:22:00,Room 5,rator-28,4,4,4,4,3,3,3.67,ratee-30
2021-11-12 09:22:00,Room 5,rator-11,4,4,4,4,4,4,4.0,ratee-12
2021-11-12 09:22:00,Room 2,rator-14,4,3,3,4,3,3,3.33,ratee-16
