"location","indicator","sex","residence","Unit","Date","Value"
"Kenya","Primary School Enrollment","Total","Total","Number","1970","1427589"
"Kenya","Primary School Enrollment","Total","Total","Number","1971","1525498"
"Kenya","Primary School Enrollment","Total","Total","Number","1972","1675919"
"Kenya","Primary School Enrollment","Total","Total","Number","1973","1816017"
"Kenya","Primary School Enrollment","Total","Total","Number","1974","2705878"
"Kenya","Primary School Enrollment","Total","Total","Number","1975","2881155"
"Kenya","Primary School Enrollment","Total","Total","Number","1976","2894617"
"Kenya","Primary School Enrollment","Total","Total","Number","1977","2974849"
"Kenya","Primary School Enrollment","Total","Total","Number","1978","2994894"
"Kenya","Primary School Enrollment","Total","Total","Number","1979","3698246"
"Kenya","Primary School Enrollment","Total","Total","Number","1980","3926629"
"Kenya","Primary School Enrollment","Total","Total","Number","1981","3981162"
"Kenya","Primary School Enrollment","Total","Total","Number","1982","4120145"
"Kenya","Primary School Enrollment","Total","Total","Number","1983","4323822"
"Kenya","Primary School Enrollment","Total","Total","Number","1984","4380232"
"Kenya","Primary School Enrollment","Total","Total","Number","1985","4702414"
"Kenya","Primary School Enrollment","Total","Total","Number","1986","4843432"
"Kenya","Primary School Enrollment","Total","Total","Number","1987","5031340"
"Kenya","Primary School Enrollment","Total","Total","Number","1988","5123581"
"Kenya","Primary School Enrollment","Total","Total","Number","1989","5389148"
"Kenya","Primary School Enrollment","Total","Total","Number","1990","5392319"
"Kenya","Primary School Enrollment","Total","Total","Number","1991","5455996"
"Kenya","Primary School Enrollment","Total","Total","Number","1992","5563988"
"Kenya","Primary School Enrollment","Total","Total","Number","1993","5428396"
"Kenya","Primary School Enrollment","Total","Total","Number","1994","5557008"
"Kenya","Primary School Enrollment","Total","Total","Number","1995","5544998"
"Kenya","Primary School Enrollment","Total","Total","Number","1996","5567590"
"Kenya","Primary School Enrollment","Total","Total","Number","1997","5650882"
"Kenya","Primary School Enrollment","Total","Total","Number","1998","5828163"
"Kenya","Primary School Enrollment","Total","Total","Number","1999","5867608"
"Kenya","Primary School Enrollment","Total","Total","Number","2000","5926067"
"Kenya","Primary School Enrollment","Total","Total","Number","2001","5941611"
"Kenya","Primary School Enrollment","Total","Total","Number","2002","6062742"
"Kenya","Primary School Enrollment","Total","Total","Number","2003","7159524"
"Kenya","Primary School Enrollment","Total","Total","Number","2004","7394762"
"Kenya","Primary School Enrollment","Total","Total","Number","2005","7597285"
"Kenya","Primary School Enrollment","Total","Total","Number","2006","7632113"
"Kenya","Primary School Enrollment","Total","Total","Number","2007","8330151"
"Kenya","Primary School Enrollment","Total","Total","Number","2008","8563800"
"Kenya","Primary School Enrollment","Total","Total","Number","2009","8986400"
"Kenya","Primary School Enrollment","Total","Total","Number","2010","9352800"
"Kenya","Primary School Enrollment","Total","Total","Number","2011","9561100"
"Kenya","Primary School Enrollment","Total","Total","Number","2012","9757600"
"Kenya","Primary School Enrollment","Total","Total","Number","2013","9857600"
"Kenya","Primary School Enrollment","Total","Total","Number","2014","9950746"
"Kenya","Primary School Enrollment","Total","Total","Number","2015","10090759"
"Kenya","Primary School Enrollment","Total","Total","Number","2016","10285388"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1986","458700"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1987","522300"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1988","540200"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1989","640700"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1990","618500"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1991","614200"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1992","579900"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1993","531000"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1994","619900"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1995","632500"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1996","658300"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1997","687300"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1998","700500"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","1999","661700"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2000","738100"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2001","753500"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2002","851200"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2003","881400"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2004","925200"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2005","934100"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2006","1030100"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2007","1180300"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2008","1335907"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2009","1472634"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2010","1653384"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2011","1767720"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2012","1914823"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2013","2104262"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2014","2331697"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2015","2558981"
"Kenya","Secondary Schools Enrollment","Total","Total","Number","2016","2723688"
"Kenya","School Net Attendance Ratio, Primary","Male","Urban","%","2006","80.627090627"
"Kenya","School Net Attendance Ratio, Primary","Male","Rural","%","2006","77.525328968"
"Kenya","School Net Attendance Ratio, Primary","Female","Urban","%","2006","85.662497941"
"Kenya","School Net Attendance Ratio, Primary","Female","Rural","%","2006","79.133776593"
"Kenya","School Net Attendance Ratio, Primary","Total","Urban","Number","2006","1209646.2"
"Kenya","School Net Attendance Ratio, Primary","Total","Rural","Number","2006","6495688.9"
"Kenya","School Net Attendance Ratio, Secondary","Male","Urban","%","2006","30.692020917"
"Kenya","School Net Attendance Ratio, Secondary","Male","Rural","%","2006","14.430748741"
"Kenya","School Net Attendance Ratio, Secondary","Female","Urban","%","2006","29.071797026"
"Kenya","School Net Attendance Ratio, Secondary","Female","Rural","%","2006","17.352861184"
"Kenya","School Net Attendance Ratio, Secondary","Total","Urban","Number","2006","580177.9"
"Kenya","School Net Attendance Ratio, Secondary","Total","Rural","Number","2006","3085573.5"
"Kenya","Gross Attendance Ratio, Primary","Male","Urban","%","2006","111"
"Kenya","Gross Attendance Ratio, Primary","Male","Rural","%","2006","121"
"Kenya","Gross Attendance Ratio, Primary","Female","Urban","%","2006","109"
"Kenya","Gross Attendance Ratio, Primary","Female","Rural","%","2006","116"
"Kenya","Gross Attendance Ratio, Primary","Total","Urban","Number","2006","1209646.2"
"Kenya","Gross Attendance Ratio, Primary","Total","Rural","Number","2006","6495688.9"
"Kenya","Gross Attendance Ratio, Secondary","Male","Urban","%","2006","57"
"Kenya","Gross Attendance Ratio, Secondary","Male","Rural","%","2006","39"
"Kenya","Gross Attendance Ratio, Secondary","Female","Urban","%","2006","50"
